motif	tf.gene	tf.ensg
MA0853.1	ALX4	ENSG00000052850
MA0854.1	ALX1	ENSG00000180318
MA0855.1	RXRB	ENSG00000204231
MA0856.1	RXRG	ENSG00000143171
MA0857.1	RARB	ENSG00000077092
MA0858.1	RARB	ENSG00000077092
MA0859.1	RARG	ENSG00000172819
MA0860.1	RARG	ENSG00000172819
MA0861.1	TP73	ENSG00000078900
MA0862.1	GMEB2	ENSG00000101216
MA0863.1	MTF1	ENSG00000188786
MA0864.1	E2F2	ENSG00000007968
MA0865.1	E2F8	ENSG00000129173
MA0866.1	SOX21	ENSG00000125285
MA0867.1	SOX4	ENSG00000124766
MA0868.1	SOX8	ENSG00000005513
MA0869.1	SOX11	ENSG00000176887
MA0870.1	SOX1	ENSG00000182968
MA0871.1	TFEC	ENSG00000105967
MA0872.1	TFAP2A	ENSG00000137203
MA0873.1	HOXD12	ENSG00000170178
MA0874.1	ARX	ENSG00000004848
MA0875.1	BARX1	ENSG00000131668
MA0876.1	BSX	ENSG00000188909
MA0877.1	BARHL1	ENSG00000125492
MA0878.1	CDX1	ENSG00000113722
MA0879.1	DLX1	ENSG00000144355
MA0880.1	DLX3	ENSG00000064195
MA0881.1	DLX4	ENSG00000108813
MA0882.1	DLX6	ENSG00000006377
MA0883.1	DMBX1	ENSG00000197587
MA0884.1	DUXA	ENSG00000258873
MA0885.1	DLX2	ENSG00000115844
MA0886.1	EMX2	ENSG00000170370
MA0887.1	EVX1	ENSG00000106038
MA0888.1	EVX2	ENSG00000174279
MA0889.1	GBX1	ENSG00000164900
MA0890.1	GBX2	ENSG00000168505
MA0891.1	GSC2	ENSG00000063515
MA0892.1	GSX1	ENSG00000169840
MA0893.1	GSX2	ENSG00000180613
MA0894.1	HESX1	ENSG00000163666
MA0895.1	HMBOX1	ENSG00000147421
MA0896.1	HMX1	ENSG00000215612
MA0897.1	HMX2	ENSG00000188816
MA0898.1	HMX3	ENSG00000188620
MA0899.1	HOXA10	ENSG00000253293
MA0900.1	HOXA2	ENSG00000105996
MA0901.1	HOXB13	ENSG00000159184
MA0902.1	HOXB2	ENSG00000173917
MA0903.1	HOXB3	ENSG00000120093
MA0904.1	HOXB5	ENSG00000120075
MA0905.1	HOXC10	ENSG00000180818
MA0906.1	HOXC12	ENSG00000123407
MA0907.1	HOXC13	ENSG00000123364
MA0908.1	HOXD11	ENSG00000128713
MA0909.1	HOXD13	ENSG00000128714
MA0910.1	HOXD8	ENSG00000175879
MA0911.1	HOXA11	ENSG00000005073
MA0912.1	HOXD3	ENSG00000128652
MA0913.1	HOXD9	ENSG00000128709
MA0914.1	ISL2	ENSG00000159556
MA1099.1	HES1	ENSG00000114315
AIRE.p2	AIRE	ENSG00000160224
ATF6.p2	ATF6	ENSG00000118217
BPTF.p2	BPTF	ENSG00000171634
DMAP1_NCOR{1,2}_SMARC.p2	DMAP1	ENSG00000178028
DMAP1_NCOR{1,2}_SMARC.p2	NCOR1	ENSG00000141027
DMAP1_NCOR{1,2}_SMARC.p2	NCOR2	ENSG00000196498
DMAP1_NCOR{1,2}_SMARC.p2	SMARCA1	ENSG00000102038
DMAP1_NCOR{1,2}_SMARC.p2	SMARCA2	ENSG00000080503
DMAP1_NCOR{1,2}_SMARC.p2	SMARCA4	ENSG00000127616
DMAP1_NCOR{1,2}_SMARC.p2	SMARCA5	ENSG00000153147
DMAP1_NCOR{1,2}_SMARC.p2	SMARCAD1	ENSG00000163104
